,EC,PC,DMC,EMC,DEC,DME,DMSO,AN,MOEMC,TFP,EA,MA,FEC,DOL,2-MeTHF,DMM,Freon 11,Methylene chloride,THF,Toluene,Sulfolane,2-Glyme,3-Glyme,4-Glyme,3-Me-2-Oxazolidinone,3-MeSulfolane,Ethyldiglyme,DMF,Ethylbenzene,Ethylmonoglyme,Benzene,g-Butyrolactone,Cumene,Propyl sulfone,Pseudocumene,TEOS,m-Xylene,o-Xylene
Number of amines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Number of nitriles,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number of thioethers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Number of sulfoxides,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Number of sulfones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Number of fluorides,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number of chlorides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number of siloxanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maximum ring size,5,5,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,4,6,5,0,0,0,5,5,0,0,0,0,6,5,6,0,6,0,6,6
Minimum ring size,5,5,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,4,6,5,0,0,0,5,5,0,0,0,0,6,5,6,0,6,0,6,6
Number of rotatable bonds,0,0,2,2,3,0,1,0,3,1,2,2,0,0,0,4,0,0,0,0,0,4,5,6,0,0,4,2,0,2,0,0,0,4,0,5,0,0
Molar refractivity,16.681,21.396,19.096,21.87,28.355,13.484,20.1,15.754,30.538,15.725,22.217,17.562,17.752,16.845,23.762,44.18,21.621,16.363,19.858,31.082,27.129,35.154,45.844,51.244,23.663,31.931,44.408,19.504,35.913,25.295,25.574,19.879,38.677,33.781,40.442,57.228,36.138,35.522
Molecular polarizability,6.6163E-24,8.48642E-24,7.57423E-24,8.67432E-24,1.12464E-23,5.34803E-24,7.97255E-24,6.24848E-24,1.21124E-23,6.23718E-24,8.81214E-24,6.9657E-24,7.04098E-24,6.68125E-24,9.42473E-24,1.75234E-23,8.57554E-24,6.49028E-24,7.87655E-24,1.23283E-23,1.07602E-23,1.39434E-23,1.81833E-23,2.0325E-23,9.38561E-24,1.26651E-23,1.76138E-23,7.73614E-24,1.42443E-23,1.00328E-23,1.01434E-23,7.88479E-24,1.53406E-23,1.33988E-23,1.60408E-23,2.26987E-23,1.43337E-23,1.40891E-23
Molar volume,66.641,84.743,84.693,94.636,121.134,63.633,70.972,66.292,127.379,87.318,97.683,79.298,75.75,69.887,95.7,180.256,91.941,64.074,81.022,106.275,95.328,141.979,180.03,202.073,87.381,115.292,178.471,75.351,122.728,112.65,86.789,76.213,133.544,135.473,136.58,231.478,122.87,120.774
Water solubility,4,5,3,2,1,5,5,3,3,1,3,3,4,5,2,5,0,1,5,0,5,5,5,5,5,4,5,5,0,5,0,5,0,2,0,2,0,0
