seed,mae,mse,r2,rmse,training_time
1,0.8094545892942618,3.608132515630343,0.7733784922820072,1.899508493171416,15.305482625961304
2,0.5084144871792006,0.9923340951826658,0.9411550321610769,0.9961596735376642,16.512264013290405
3,0.5898657534992444,1.1941760540130057,0.9295909199879132,1.0927836263474147,17.68919277191162
4,0.4807798915655435,0.7939513087098655,0.9524976965979928,0.8910394540702816,16.818440914154053
5,0.6048984280435966,1.1225197463490852,0.9330946382524052,1.0594903238581679,16.00164556503296
6,1.168079105371765,6.176944083423515,0.6000177403468538,2.4853458679675784,11.365513324737549
7,0.5277598511615431,1.7922110599272385,0.8921756459756522,1.3387348729032342,21.490190744400024
8,0.47886687516154114,0.7701396116200585,0.9534008736247391,0.8775759862371226,25.43453812599182
9,0.5803729788040416,1.2003110911060142,0.9294625697377716,1.0955870988223684,13.6004638671875
10,0.5641184124694373,1.1099214484875382,0.9354735465355516,1.0535280957276545,17.607860565185547
11,0.7505176220857792,1.9428762345950394,0.8873975891972886,1.3938709533507898,14.045172452926636
12,0.646224677763563,1.265918732118256,0.9227810112757734,1.125130540034469,13.65857195854187
13,0.6749541948523676,1.3931068168495568,0.9148932872009228,1.1802994606664687,15.312437295913696
14,0.47746077232582046,0.8488218324070139,0.9475123880259695,0.9213152730781217,16.005988836288452
15,0.6514273446255529,1.3612992693215946,0.9189109778624304,1.1667473031130582,15.325868368148804
16,0.43516433265120846,1.8661014590641876,0.8848088018602248,1.3660532416652682,20.97700262069702
17,0.5771757663200562,5.5889470725520045,0.6614850328186308,2.3640954025910217,15.236454486846924
18,0.7408782937140305,1.4329927309231083,0.9118804923727136,1.1970767439571735,14.61329460144043
19,0.3757743577057875,0.5984860658105299,0.9652390517330411,0.773618811696387,24.425385236740112
20,0.566740762422728,1.0647452495589156,0.9387966398844341,1.031864937653623,20.526070833206177
21,0.503444611781159,1.2554456343921698,0.9205163603025684,1.1204667038302254,16.99551820755005
22,0.5827686548064274,1.0739857567690765,0.9347887706083743,1.0363328407268952,19.805249214172363
23,0.5843747744526661,4.291139834924215,0.746572500515952,2.0715066581896897,15.80873703956604
24,0.5700416095265344,1.0864842753290083,0.9348494693881699,1.0423455642583261,16.499314308166504
25,0.40704075693971387,0.5433297110286556,0.9664752098295882,0.7371090224849073,34.1915397644043
26,0.6661448152373702,2.828842562312631,0.8167593646325706,1.6819163362999454,15.924226760864258
27,0.572917714077933,4.5231505820177125,0.7335929059118,2.126769988037661,22.304141521453857
28,0.5149165142313972,0.6571826286700906,0.9566878032293977,0.8106680138441942,18.26397967338562
29,0.9938189220736611,2.282958255240245,0.8539311907377864,1.5109461457114364,11.907113075256348
30,0.4341372643305139,0.8446701753897129,0.9475423553833656,0.9190593970955919,18.605024576187134
31,0.6832724146918787,1.611224900885479,0.9006047233207972,1.2693403408406585,13.46868348121643
32,0.5889150480980371,0.8816016075929539,0.948431324829218,0.9389364236160795,15.767986297607422
33,0.5221014598151273,0.9756505599658218,0.9435927020323566,0.9877502518176454,17.624902486801147
34,0.43603892834656544,0.5963576288394385,0.963516856317721,0.7722419496760317,19.889447689056396
35,0.7039192891728063,1.4206514049717143,0.9121678888740679,1.1919108208971485,13.455702304840088
36,0.5174016369215657,1.0767691217603395,0.9356726028247637,1.0376748632208161,17.734410762786865
37,0.46603247859009184,0.8749348871465311,0.9438014190477565,0.9353795417618086,24.28741145133972
38,0.4697889467433382,0.9626643528773812,0.9425193986225628,0.9811546019243762,22.50248694419861
39,0.4564572570669792,1.031526197885995,0.9370424145322811,1.0156407819135638,15.832960367202759
40,1.1612498157979403,4.894289183651263,0.6919274904050101,2.212304044124872,11.994319677352905
41,0.5813780905704728,1.37859948068992,0.913357480095786,1.1741377605246839,15.26808786392212
42,0.4954156482918029,0.7051925514680726,0.9602787902568144,0.839757436089775,19.55110478401184
43,0.5683622302283801,0.9220059337137166,0.9463773901507287,0.9602114005330892,17.282653093338013
44,0.5277854827950158,1.4121909027228885,0.9170505166352174,1.188356387083811,19.826794624328613
45,0.57215967595617,1.0444341322292645,0.935855951858815,1.0219756025606799,14.293657779693604
46,0.48680051964781723,1.052506656507821,0.9332901578806162,1.0259174706124372,17.532222032546997
47,0.5982858597281226,1.3809737097077384,0.9219317014626064,1.1751483777411849,17.905980348587036
48,0.5586770924364483,2.3961134956417633,0.8513847921117493,1.5479384663615552,16.418713092803955
49,0.5269339906571209,1.1642812591860685,0.9368047068105059,1.0790186556246693,20.77339482307434
50,0.38319512135264844,0.4956584638131458,0.9683399503239104,0.7040301583122316,33.22435784339905
51,0.4191185097947529,0.6909842239579651,0.958233739912968,0.8312546083829943,28.107178926467896
52,0.5327506632214972,0.9880594543666517,0.9424069822492084,0.9940117979011375,16.897690057754517
53,0.45001722800507704,0.8161201884288793,0.9518515597350657,0.9033937062150031,24.697688102722168
54,2.2700063651150044,9.971514355914133,0.40169081579245913,3.157770472329193,10.84788203239441
55,0.5484714873975729,2.1068809262454633,0.8677262720934475,1.4515098781081248,17.971885681152344
56,0.48641259060084974,1.0520243950909784,0.9331208692338848,1.0256824045926587,19.87394380569458
57,0.4479100997525821,0.7637838351130791,0.952388150240283,0.8739472725016534,20.11169743537903
58,0.5001658088709294,0.8219381238411949,0.9508145780663362,0.9066080320850874,19.086338758468628
59,0.6737017916876907,1.7708637113267633,0.8911199367474781,1.3307380325694322,19.214387893676758
60,0.4164968029745202,0.9615885021412107,0.9425363631369337,0.9806061911599431,24.694743633270264
61,0.6872445047649656,1.0860321504270731,0.9374413945041549,1.042128663086796,15.791579246520996
62,0.6035413787833623,1.1599989750664668,0.931215252285626,1.077032485613348,17.27754259109497
63,0.4935098858488542,0.9685375943691054,0.9433179413540047,0.9841430761678432,20.958752155303955
