salt,k(ms*cm-1),T,c_val,c_units,solvent_ratio_type,weighted_The number of atoms,weighted_The number of carbon atoms,weighted_The number of oxygen atoms,weighted_The ratio of carbon atoms to oxygen atoms,weighted_The number of rings,weighted_Molecular weight,weighted_Molecular radius,weighted_Molecular dipole moment,weighted_Average electronegativity,weighted_Average ionization energy,weighted_Average electron affinity,weighted_Number of hydrogen atoms,weighted_Hydrogen-to-carbon atom ratio,weighted_Number of sulfur atoms,weighted_Sulfur-to-carbon atom ratio,weighted_Number of nitrogen atoms,weighted_Nitrogen-to-carbon atom ratio,weighted_Number of fluorine atoms,weighted_Fluorine-to-carbon atom ratio,weighted_Number of chlorine atoms,weighted_Chlorine-to-carbon atom ratio,weighted_Number of silicon atoms,weighted_Silicon-to-carbon atom ratio,weighted_Number of halogen atoms,weighted_Halogen-to-carbon atom ratio,weighted_Average atomic mass,weighted_Average atomic mass of heavy atoms,weighted_Log P,weighted_Number of hydrogen bond acceptors,weighted_Number of rotatable bonds,weighted_Topological polar surface area ,weighted_Number of heavy atoms,weighted_Molecular complexity,weighted_Isotopic atom count,weighted_Number of undefined stereocenters,weighted_Number of covalent bond units,weighted_Boiling point,weighted_Melting point,weighted_Flash point,weighted_Density,weighted_Isochoric specific volume,weighted_Vapor density,weighted_Vapor pressure,weighted_Refractive index,weighted_Number of carbon-carbon double bonds,weighted_Number of carbon-carbon triple bonds,weighted_Number of ethers,weighted_Number of carbonyl groups,weighted_Number of ketones,weighted_Number of esters,weighted_Number of amines,weighted_Number of nitriles,weighted_Number of thioethers,weighted_Number of sulfoxides,weighted_Number of sulfones,weighted_Number of fluorides,weighted_Number of chlorides,weighted_Number of siloxanes,weighted_Maximum ring size,weighted_Minimum ring size,weighted_Number of rotatable bonds.1,weighted_Molar refractivity,weighted_Molecular polarizability,weighted_Molar volume,weighted_Water solubility,weighted_Lipid solubility,weighted_Viscosity,weighted_Surface tension,weighted_Polarizability,weighted_Number of chiral carbons,weighted_Is it a chiral molecule,weighted_Does it have stereocenters,weighted_Does it have a plane of symmetry,weighted_Does it have a center of symmetry,weighted_Rigidity/Flexibility,weighted_Number of aromatic rings,weighted_Number of aromatic bonds
LiPF6,0.043159309,233.6641853,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.030807411,223.4968354,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.092815386,332.7444052,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.089687079,322.7649243,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.085191199,313.3666112,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.082791608,303.681806,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.077747746,293.0497925,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.072595152,283.4922228,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.065126186,273.2108317,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.056779983,263.3418784,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.045697381,253.3064335,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.036360011,243.7446074,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiBF4,0.025367519,233.4228465,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,4.534450652,298.15,0.201931519,1,0,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiPF6,7.802607076,298.15,0.498683055,1,0,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiPF6,9.348230912,298.15,0.798946444,1,0,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiPF6,9.506517691,298.15,1.000877963,1,0,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiPF6,9.217877095,298.15,1.201053556,1,0,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiPF6,7.774674115,298.15,1.599648815,1,0,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiPF6,5.931098696,298.15,1.998244074,1,0,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiPF6,5.158286778,298.15,2.200175593,1,0,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiFSI,15.58303956,332.5420421,1,1,1,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiFSI,13.92880901,322.5244073,1,1,1,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiFSI,12.2868877,312.7431776,1,1,1,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiFSI,10.69635701,302.7131199,1,1,1,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
LiFSI,9.009384647,292.8494972,1,1,1,13.5,3.7,3,1.231,0.3,99.28799999999998,3.574007,2.8347999999999995,2.9502,12.3217,-1.3502,6.8,1.799,0,0,0,0,0,0,0,0,0,0,0,0,7.499799999999999,13.813299999999998,0.72,3,2.1,35.5,6.699999999999999,60.12,0,0,1,149.64999999999998,0.7700000000000014,143.07,1.16642,0.8634,3.4271,19.04294,1.38974,0,0,1,1.7,0,1.7,0,0,0,0,0,0,0,0,1.5,1.5,1.4,20.3133,8.056914e-24,86.2375,2.6,2.3999999999999995,0.891,29.32,8.725000000000001,0,0,0,1,0.3,0.3,0,0
