SMILES,Linear Carbonyl,Cyclic Carbonyl,Linear Ether,Cyclic Ether,tsne_x,tsne_y
CC(C)C1CCOC1,0,0,0,1,-4.4404025,-40.593708
CC(C)C1CCOC1=O,0,1,0,0,-58.68784,45.481728
CC(C)C1CCOC1C,0,0,0,1,-32.287186,-25.942827
CC(C)C1CCOCC1,0,0,0,1,-4.171775,-40.020237
CC(C)C1CCOCO1,0,0,0,1,-2.4627347,-44.120987
CC(C)C1COC(=O)C1,0,1,0,0,-40.111675,13.7893095
CC(C)C1COC(=O)O1,0,1,0,0,-47.825233,12.463319
CC(C)C1COCC1=O,0,1,0,0,-48.29161,38.79154
CC(C)C1COCC1C,0,0,0,1,-28.950798,-34.12286
CC(C)C1COCCO1,0,0,0,1,-1.763338,-42.998745
CC(C)C1COCO1,0,0,0,1,-1.4011052,-43.56465
CC(C)C1COCOC1,0,0,0,1,-2.754474,-41.248596
CC(C)C1OCC(=O)O1,0,1,0,0,-65.71465,9.234076
CC(C)C1OCCC1=O,0,1,0,0,-63.13191,32.070885
CC(C)C1OCCC1C,0,0,0,1,-32.118275,-26.564066
CC(C)C1OCCCO1,0,0,0,1,-0.99999696,-49.020004
CC(C)C1OCCO1,0,0,0,1,-1.109508,-48.89014
CC(C)C1OCOC1=O,0,1,0,0,-62.87805,33.27771
CC(C)C1OCOC1C,0,0,0,1,-29.969954,-28.173643
CC(C)C1OCOCO1,0,0,0,1,-0.1911266,-49.05217
CC(C)CC(=O)C(C)C,1,0,0,0,73.73224,31.90948
CC(C)CC1CCCO1,0,0,0,1,-40.49751,-56.63578
CC(C)CC1CCOC1,0,0,0,1,-25.071093,-48.3523
CC(C)CC1COCO1,0,0,0,1,-29.120384,-58.804783
CC(C)CC1OCCO1,0,0,0,1,-42.89417,-54.25678
CC(C)CCOC(C)C,0,0,1,0,45.237446,-26.789974
CC(C)COC(C)(C)C,0,0,1,0,49.61645,-35.143528
CC(C)COC(C)C,0,0,1,0,49.999367,-28.265743
CC(C)COCC(C)C,0,0,1,0,50.879627,-34.540424
CC(C)OC(=O)C(C)C,1,0,0,0,58.35464,17.865608
CC(C)OC(C)(C)C,0,0,1,0,26.077621,-15.13427
CC(C)OC(C)C,0,0,1,0,41.38148,-4.747502
CC(C)OC(C)C(C)C,0,0,1,0,41.667767,-4.848886
CC(C)OC1CCCC1,0,0,0,1,-8.497444,-41.529568
CC(C)OC1CCCO1,0,0,0,1,-13.007419,-41.081867
CC(C)OC1CCOC1,0,0,0,1,-8.808216,-40.926693
CC(C)OC1COCO1,0,0,0,1,-15.215456,-47.728786
CC(C)OC1OCCO1,0,0,0,1,-9.999524,-41.009937
CC(C)OCC(C)(C)C,0,0,1,0,40.98683,-21.26141
CC(C)OCOC(C)C,0,0,1,0,41.987396,-20.60668
CC(C)c1ccccc1,0,0,0,0,27.391571,-0.0059772287
CC1(C)CC(=O)CCO1,0,1,0,0,-1.5315864,56.90915
CC1(C)CC(=O)CO1,0,1,0,0,-0.917939,57.65958
CC1(C)CC(=O)OCO1,0,1,0,0,-4.8421516,64.14564
CC1(C)CCC(=O)C1,0,1,0,0,-3.2466476,52.92585
CC1(C)CCC(=O)CC1,0,1,0,0,-3.0429053,53.377876
CC1(C)CCC(=O)CO1,0,1,0,0,-0.3417437,57.055588
CC1(C)CCC(=O)O1,0,1,0,0,2.9850395,63.91213
CC1(C)CCC(=O)OC1,0,1,0,0,-3.2815094,66.687996
CC1(C)CCC(C)(C)O1,0,0,0,1,-2.6491177,36.53337
CC1(C)CCCC(=O)C1,0,1,0,0,-3.7662435,52.981434
CC1(C)CCCC(=O)O1,0,1,0,0,3.2364812,63.723743
CC1(C)CCCC1=O,0,1,0,0,-8.7673435,53.880848
CC1(C)CCCCC1=O,0,1,0,0,-8.99333,53.78579
CC1(C)CCCCO1,0,0,0,1,-0.86806893,36.4465
CC1(C)CCCO1,0,0,0,1,-0.908518,36.603363
CC1(C)CCCOC1,0,0,0,1,-10.196899,25.205336
CC1(C)CCCOC1=O,0,1,0,0,-10.006809,63.29366
