SMILES,Linear Carbonyl,Cyclic Carbonyl,Linear Ether,Cyclic Ether,tsne_x,tsne_y
CCOC,0,0,1,0,64.96216,-18.362549
COC(C)C,0,0,1,0,28.819786,-41.838276
CCOCC,0,0,1,0,60.30208,-17.018803
CCCOC,0,0,1,0,68.30141,-8.658867
COCOC,0,0,1,0,64.46516,-21.091225
C1CCOC1,0,0,0,1,-15.953635,20.485018
C1COCO1,0,0,0,1,-15.742908,22.515823
COC(C)(C)C,0,0,1,0,56.055157,-42.195816
CCOC(C)C,0,0,1,0,28.127941,-5.5467067
CCC(C)OC,0,0,1,0,28.208134,-26.070612
COC(C)OC,0,0,1,0,28.076584,-42.59882
CCCOCC,0,0,1,0,59.815228,-13.783726
CCOCOC,0,0,1,0,63.671303,-18.353851
COCC(C)C,0,0,1,0,46.07822,-18.92737
CCCCOC,0,0,1,0,70.32377,-8.309515
COCCOC,0,0,1,0,68.19758,-10.6282
CC1CCCO1,0,0,0,1,-21.552477,-35.66478
CC1COCO1,0,0,0,1,-27.02657,-34.769897
CC1OCCO1,0,0,0,1,-18.443592,-32.57866
CC1CCOC1,0,0,0,1,2.5322824,-41.685604
C1CCOCC1,0,0,0,1,-15.991364,20.3953
C1COCCO1,0,0,0,1,-15.518678,21.203974
C1COCOC1,0,0,0,1,-15.967105,22.372269
C1OCOCO1,0,0,0,1,-15.600914,23.12115
CCOC(C)(C)C,0,0,1,0,59.64685,-34.962162
CCC(C)(C)OC,0,0,1,0,66.47512,-36.201733
COC(C)(C)OC,0,0,1,0,55.415516,-42.165672
CC(C)OC(C)C,0,0,1,0,25.524584,-41.245125
CCOC(C)CC,0,0,1,0,32.955776,-12.3566475
CCCOC(C)C,0,0,1,0,36.183983,-8.338087
COCOC(C)C,0,0,1,0,32.397873,-5.029196
COC(C)C(C)C,0,0,1,0,30.449358,-39.666027
CCC(CC)OC,0,0,1,0,21.0495,-26.11732
CCCC(C)OC,0,0,1,0,31.88244,-24.518337
