fold,mse,mae,r2
1,1.3547827778743056,0.6963524252709851,0.9236894791863988
2,0.8469989697498418,0.5235062338673512,0.9456475339794059
3,1.1031239817368188,0.597929058906494,0.9345779133558589
4,0.969236929692049,0.5756928864311144,0.9407776717233329
5,0.9044008278979062,0.488994403847584,0.9463068190377046
