seed,mae,mse,r2,rmse,training_time,performance_score,rank
75,0.2409398411773755,0.24463420589031734,0.9776782266885936,0.49460510095460736,62.28450584411621,0.592897665006649,1
13,0.22950039423524124,0.2654096455536765,0.9754809312705363,0.5151792363378754,54.52023506164551,0.5854387996387839,2
68,0.23633689284475315,0.2601966223507239,0.9742141510683602,0.510094718999054,71.6929943561554,0.5839299924187522,3
63,0.24640169880569326,0.2666512977265052,0.9772737067689652,0.5163828983675827,53.06023645401001,0.5741043452452843,4
59,0.23831287346967067,0.2746571965991073,0.9746889286588136,0.5240774719438981,59.614686012268066,0.5730427134940405,5
73,0.24025258695117666,0.2747567802074602,0.9755489318217168,0.524172471813868,56.16477298736572,0.5720330423116796,6
9,0.23849531161386955,0.2766916090464234,0.9741705672733182,0.5260148372873368,49.52898645401001,0.5713487952777883,7
97,0.23450390296212947,0.2818348845426817,0.9738936631351618,0.5308812339334305,81.0725781917572,0.570442529453782,8
60,0.2376702389424473,0.289707303911899,0.973972714670923,0.5382446506115031,68.55179786682129,0.5631273007893484,9
88,0.2348502116919432,0.29479037214600345,0.973390679325974,0.5429460121835351,64.43946862220764,0.5613928303362226,10
66,0.24314190149064693,0.2888660902454013,0.9734754202760365,0.53746264079041,61.96233344078064,0.5598577866254512,11
16,0.24797208348221542,0.29017604144181997,0.97393763243318,0.5386799062911294,60.350499391555786,0.5559676729563623,12
50,0.2327634918473194,0.3058675073443359,0.974617394694229,0.5530528974197096,95.67856359481812,0.5559577723048087,13
11,0.22847035694236262,0.3087775977516022,0.9717849624139693,0.5556776023483421,78.26565384864807,0.5557610181211331,14
32,0.24269990742768738,0.30073947428989267,0.9731647268733103,0.5483971866174121,62.21345400810242,0.5521625504572495,15
17,0.24583409329541164,0.3000749290084801,0.9719754165807738,0.5477909537483072,51.55935478210449,0.5500461641853952,16
83,0.24664470062272942,0.3006788449006629,0.9732197485380922,0.5483419051109106,66.12043499946594,0.5496076314366822,17
20,0.25069554397518523,0.2964155894992308,0.9719340966099502,0.5444406207284967,45.768030643463135,0.5492227517892844,18
8,0.24430831392469918,0.30724131853860415,0.9721872806250061,0.5542935310272024,61.06199765205383,0.5464240630293175,19
43,0.2403940284284552,0.31239150071986543,0.9724422737115842,0.5589199412437039,61.19522738456726,0.5457446184422126,20
29,0.2426305609427954,0.31098702038735554,0.9719500826724019,0.5576621023409746,54.28469228744507,0.5449842083322386,21
56,0.24065940416997766,0.31568059323908443,0.9724995566451489,0.5618546015109999,62.085949182510376,0.5434397355330685,22
81,0.2511194119262603,0.3054539309559171,0.9728632625892685,0.552678867839107,68.5048360824585,0.5433510126616432,23
46,0.24774318866314252,0.3098010666491062,0.9736920890624943,0.5565977601905223,55.837148666381836,0.5430669686458562,24
10,0.25223557696483967,0.3095821062553679,0.9725079299702717,0.5564010300631802,55.62205147743225,0.5397567415425015,25
14,0.25453758677644006,0.31224817510504155,0.9740829944375953,0.5587917099465968,54.633143186569214,0.5371121062454127,26
49,0.24324093267097663,0.32648556738254497,0.970681506392497,0.5713891558146208,83.14885520935059,0.5339613211951791,27
96,0.2486129446093569,0.3214777915654517,0.9712834461934047,0.5669901159327663,77.61448359489441,0.5338949161067302,28
78,0.251749887081713,0.31827944398750446,0.9687451664778883,0.5641626042086665,74.53389191627502,0.5328835593552492,29
7,0.25162443452479477,0.3201590434067473,0.969769120073173,0.5658259833259226,65.24732542037964,0.5321505910372502,30
53,0.24913638917531133,0.3247425162011775,0.9694767940433734,0.5698618395726963,57.98724865913391,0.5307008731004855,31
1,0.24393807528033776,0.3319007202307588,0.9699492695515227,0.576108253916535,73.03593373298645,0.529695197598213,32
48,0.24707743103050692,0.3324551136328529,0.9704043133862745,0.5765892070034375,62.65923857688904,0.527435797835448,33
36,0.256235758496904,0.329102673734022,0.9702458052507208,0.5736747107325039,45.42541861534119,0.5234683351875775,34
95,0.26084965459590204,0.32518778900823586,0.9706355344431004,0.5702523906203602,50.90222191810608,0.5231045401945412,35
34,0.24552968721844765,0.3431584294409223,0.9696296017391718,0.5857972596734491,60.477030754089355,0.5212473441066513,36
86,0.26109013201511394,0.32887337023898927,0.9721902522564944,0.5734748209285123,66.68201804161072,0.5211744609344284,37
15,0.2529058048863111,0.34256664596371095,0.9707226513462259,0.5852919322557855,52.86264896392822,0.5171720587846462,38
80,0.2608519025428478,0.33603574691531785,0.9709781131580593,0.5796859036713915,51.21918845176697,0.5162128158256312,39
35,0.24360039583352908,0.35686554427952316,0.9691842398156016,0.5973822430232784,77.47141027450562,0.5135645385872474,40
