metric,mean,std,min,max,median
MAE,0.25730220013090954,0.014507581324475355,0.22847035694236262,0.30148276938838386,0.2569825517191677
MSE,0.3590642223651116,0.054377961291929726,0.24463420589031734,0.49825359970600974,0.35964119278399914
R²,0.9678916893639606,0.004777787271899537,0.9551241012700206,0.9776782266885936,0.9680664567420116
RMSE,0.5975204799774767,0.04532150439029496,0.49460510095460736,0.7058708095012923,0.5997008592072798
Training Time,59.90825639247894,12.82078053094173,35.42832159996033,96.06984400749207,60.00982701778412
