Salt_Category,Average_Feature_Importance
243.15,0.07142857142857144
313.15,0.07142857142857144
204.15,0.07142857142857142
213.95,0.07142857142857142
223.85,0.07142857142857142
233.15,0.07142857142857142
243.65,0.07142857142857142
253.15,0.07142857142857142
253.35,0.07142857142857142
263.15,0.07142857142857142
272.95,0.07142857142857142
273.15,0.07142857142857142
282.85,0.07142857142857142
292.65,0.07142857142857142
293.15,0.07142857142857142
302.55,0.07142857142857142
303.15,0.07142857142857142
312.45,0.07142857142857142
322.35,0.07142857142857142
323.15,0.07142857142857142
332.15,0.07142857142857142
333.15,0.07142857142857142
194.15,0.07142857142857141
233.75,0.07142857142857141
283.15,0.07142857142857141
223.4968354,0.0
233.6641853,0.0
243.4820082,0.0
253.3064335,0.0
263.3418784,0.0
273.0330409,0.0
273.5415154,0.0
278.0622807,0.0
283.0915205,0.0
283.4922228,0.0
288.0038012,0.0
293.0497925,0.0
298.0622807,0.0
303.0915205,0.0
303.681806,0.0
308.1207602,0.0
313.0330409,0.0
313.8017217,0.0
322.7649243,0.0
333.2350339,0.0
